sample_id,sample_rep_id,sample_type,channel,replicate,mean_diameter,peak_diameter,sample_dilution,measurement_name,sample_volume,casyton_volume,measurement_volume,counts,counts_per_ul_casy_vial,counts_per_ul_diluted_sample,counts_per_ul_original_sample,counts_per_ml_original_sample
ch4_ABB_13,ch4_ABB_13_r1,ABB,4,1,2.0477,1.519,2,13,10,10000,200,2212,11.06,11071.060000000001,22142.120000000003,22142120.000000004
ch4_ABB_13,ch4_ABB_13_r2,ABB,4,2,2.049,1.46,2,13,10,10000,200,2292,11.46,11471.460000000001,22942.920000000002,22942920.000000004
ch4_ABB_13,ch4_ABB_13_r3,ABB,4,3,2.0726,1.616,2,13,10,10000,200,2407,12.035,12047.035,24094.07,24094070.0
ch5_ABB_6,ch5_ABB_6_r1,ABB,5,1,2.1146,1.479,2,6,10,10000,200,570,2.85,2852.85,5705.7,5705700.0
ch5_ABB_6,ch5_ABB_6_r2,ABB,5,2,2.0694,1.577,2,6,10,10000,200,625,3.125,3128.125,6256.25,6256250.0
ch5_ABB_6,ch5_ABB_6_r3,ABB,5,3,2.1109,1.421,2,6,10,10000,200,689,3.445,3448.4449999999997,6896.889999999999,6896889.999999999
ch7_ABB_4,ch7_ABB_4_r1,ABB,7,1,1.9748,1.538,2,4,10,10000,200,788,3.94,3943.94,7887.88,7887880.0
ch7_ABB_4,ch7_ABB_4_r2,ABB,7,2,1.9697,1.538,2,4,10,10000,200,796,3.98,3983.98,7967.96,7967960.0
ch7_ABB_4,ch7_ABB_4_r3,ABB,7,3,1.965,1.606,2,4,10,10000,200,818,4.09,4094.0899999999997,8188.179999999999,8188179.999999999
ch4_BBB_12,ch4_BBB_12_r1,BBB,4,1,2.1149,1.802,50,12,10,10000,200,1521,7.605,7612.6050000000005,380630.25,380630250.0
ch4_BBB_12,ch4_BBB_12_r2,BBB,4,2,2.1186,1.743,50,12,10,10000,200,1501,7.505,7512.505,375625.25,375625250.0
ch4_BBB_12,ch4_BBB_12_r3,BBB,4,3,2.1046,1.89,50,12,10,10000,200,1489,7.445,7452.445000000001,372622.25000000006,372622250.00000006
ch5_BBB_5,ch5_BBB_5_r1,BBB,5,1,1.8801,1.714,50,5,10,10000,200,2067,10.335,10345.335000000001,517266.75000000006,517266750.00000006
ch5_BBB_5,ch5_BBB_5_r2,BBB,5,2,1.8858,1.626,50,5,10,10000,200,1864,9.32,9329.32,466466.0,466466000.0
ch5_BBB_5,ch5_BBB_5_r3,BBB,5,3,1.8629,1.665,50,5,10,10000,200,1980,9.9,9909.9,495495.0,495495000.0
ch7_BBB_3,ch7_BBB_3_r1,BBB,7,1,1.8475,1.694,50,3,10,10000,200,1550,7.75,7757.75,387887.5,387887500.0
ch7_BBB_3,ch7_BBB_3_r2,BBB,7,2,1.8335,1.616,50,3,10,10000,200,1591,7.955,7962.955,398147.75,398147750.0
ch7_BBB_3,ch7_BBB_3_r3,BBB,7,3,1.8504,1.626,50,3,10,10000,200,1596,7.98,7987.9800000000005,399399.0,399399000.0
ch4_MC_11,ch4_MC_11_r1,MC,4,1,2.0732,1.782,1,11,10,10000,200,4644,23.22,23243.219999999998,23243.219999999998,23243219.999999996
ch4_MC_11,ch4_MC_11_r2,MC,4,2,2.0593,1.753,1,11,10,10000,200,4581,22.905,22927.905000000002,22927.905000000002,22927905.000000004
ch4_MC_11,ch4_MC_11_r3,MC,4,3,2.051,1.763,1,11,10,10000,200,4620,23.1,23123.100000000002,23123.100000000002,23123100.000000004
ch5_MC_7,ch5_MC_7_r1,MC,5,1,1.864,1.694,1,7,10,10000,200,7256,36.28,36316.28,36316.28,36316280.0
ch5_MC_7,ch5_MC_7_r2,MC,5,2,1.8685,1.714,1,7,10,10000,200,6956,34.78,34814.78,34814.78,34814780.0
ch5_MC_7,ch5_MC_7_r3,MC,5,3,1.8623,1.675,1,7,10,10000,200,6988,34.94,34974.939999999995,34974.939999999995,34974939.99999999
ch7_MC_2,ch7_MC_2_r1,MC,7,1,1.8124,1.606,1,2,10,10000,200,6352,31.76,31791.760000000002,31791.760000000002,31791760.000000004
ch7_MC_2,ch7_MC_2_r2,MC,7,2,1.8073,1.616,1,2,10,10000,200,6343,31.715,31746.715,31746.715,31746715.0
ch7_MC_2,ch7_MC_2_r3,MC,7,3,1.817,1.655,1,2,10,10000,200,6203,31.015,31046.015,31046.015,31046015.0
ch3_ABB_6,ch3_ABB_6_r1,ABB,3,1,1.9788,1.558,2,6,10,10000,200,1297,6.485,6491.485000000001,12982.970000000001,12982970.000000002
ch3_ABB_6,ch3_ABB_6_r2,ABB,3,2,1.9995,1.528,2,6,10,10000,200,1321,6.605,6611.6050000000005,13223.210000000001,13223210.000000002
