sample_id,channel,replicate,dilution_replicate,Ct,dilution_factor,sample_class,template_vol,final_vol,standard_point,dna_conc_diluted_ng_per_ul,dna_conc_in_well_ng_per_ul,dna_molecules_in_well_per_ul,log10_dna_molecules_in_well_per_ul
S1,,1,,9,10,standard,5,20,1,0.004,0.001,840944.0022343249,5.924767077450324
S1,,2,,9,10,standard,5,20,1,0.004,0.001,840944.0022343249,5.924767077450324
S1,,3,,9,10,standard,5,20,1,0.004,0.001,840944.0022343249,5.924767077450324
S2,,1,,12,100,standard,5,20,2,0.0004,0.0001,84094.4002234325,4.924767077450324
S2,,2,,12,100,standard,5,20,2,0.0004,0.0001,84094.4002234325,4.924767077450324
S2,,3,,12,100,standard,5,20,2,0.0004,0.0001,84094.4002234325,4.924767077450324
S3,,1,,15,1000,standard,5,20,3,4e-05,1e-05,8409.44002234325,3.9247670774503236
S3,,2,,15,1000,standard,5,20,3,4e-05,1e-05,8409.44002234325,3.9247670774503236
S3,,3,,15,1000,standard,5,20,3,4e-05,1e-05,8409.44002234325,3.9247670774503236
S4,,1,,18,10000,standard,5,20,4,4e-06,1e-06,840.9440022343249,2.9247670774503236
S4,,2,,19,10000,standard,5,20,4,4e-06,1e-06,840.9440022343249,2.9247670774503236
S4,,3,,18,10000,standard,5,20,4,4e-06,1e-06,840.9440022343249,2.9247670774503236
S5,,1,,22,100000,standard,5,20,5,4e-07,1e-07,84.09440022343249,1.9247670774503236
S5,,2,,22,100000,standard,5,20,5,4e-07,1e-07,84.09440022343249,1.9247670774503236
S5,,3,,21,100000,standard,5,20,5,4e-07,1e-07,84.09440022343249,1.9247670774503236
S6,,1,,25,1000000,standard,5,20,6,4e-08,1e-08,8.409440022343249,0.9247670774503236
S6,,2,,25,1000000,standard,5,20,6,4e-08,1e-08,8.409440022343249,0.9247670774503236
S6,,3,,24,1000000,standard,5,20,6,4e-08,1e-08,8.409440022343249,0.9247670774503236
S7,,1,,29,10000000,standard,5,20,7,4e-09,1e-09,0.840944002234325,-0.0752329225496764
S7,,2,,28,10000000,standard,5,20,7,4e-09,1e-09,0.840944002234325,-0.0752329225496764
S7,,3,,27,10000000,standard,5,20,7,4e-09,1e-09,0.840944002234325,-0.0752329225496764
