uniprot_id,gene_name,log2FoldChange,padj,direction,avg_ratio,ratio_count,description_clean
P73787,pstA2,7.39910896823933,3.988384436829238e-291,Upregulated,,,
P74390,amiC,-3.9365564063679233,3.988384436829238e-291,Downregulated,-1.361228037389431,3.0,P74390_SYNY3 Negative aliphatic amidase regulator
P73788,pstB2,6.4033257614159895,3.988384436829238e-291,Upregulated,,,
P73786,pstC2,9.212111769262629,3.988384436829238e-291,Upregulated,,,
P73785,pstS2,9.194787532953349,3.988384436829238e-291,Upregulated,4.368206081444318,3.0,P73785_SYNY3 Phosphate-binding protein
P73590,slr1403,3.9970604910786856,3.988384436829238e-291,Upregulated,,,
Q55200,sphX,5.153933704218254,3.988384436829238e-291,Upregulated,3.309126079791783,3.0,SPHX_SYNY3 Protein SphX
Q55199,pstS1,4.9507587903757475,3.988384436829238e-291,Upregulated,3.4113373304362526,3.0,Q55199_SYNY3 Phosphate-binding protein
Q55198,pstC1,4.230934064320461,3.988384436829238e-291,Upregulated,,,
Q55197,pstA1,4.087213116667662,3.988384436829238e-291,Upregulated,,,
Q55196,pstB1,3.8768010520354466,3.988384436829238e-291,Upregulated,4.537200860674892,3.0,PSTB1_SYNY3 Phosphate import ATP-binding protein PstB 1
P72939,sll0654,7.949654984920698,3.988384436829238e-291,Upregulated,,0.0,P72939_SYNY3 Alkaline phosphatase
P72938,nucH,6.528922989858601,3.988384436829238e-291,Upregulated,,,
P74350,slr1634,-5.379472556816623,3.988384436829238e-291,Downregulated,,,
P74647,sll0723,3.232402789422886,7.976768873658476e-291,Upregulated,,,
Q55854,sll0594,4.253285521289665,3.8177196525661525e-275,Upregulated,,,
Q55195,pstB1-pr,3.544666546476682,4.8865481558394166e-266,Upregulated,4.267423877533187,3.0,PSTB2_SYNY3 Phosphate import ATP-binding protein PstB 2
P74649,sll0721,4.024056479150015,4.851783240092702e-236,Upregulated,,,
Q55898,ppk,2.8094996206279355,3.2500440786200754e-209,Upregulated,0.5787335366825025,3.0,PPK1_SYNY3 Polyphosphate kinase
P74648,sll0722,3.675023220983368,2.9523203458011537e-186,Upregulated,,,
P73544,glnH/glnP,-2.6230692088230696,1.1951675112831856e-137,Downregulated,,,
P73103,slr1908,1.9931437067306828,6.542942310739252e-133,Upregulated,1.055924319571631,3.0,P73103_SYNY3 Slr1908 protein
P73176,sll1291,2.0644027030054612,1.8554642839532305e-122,Upregulated,,,
P74651,sll1552,9.170418501891591,1.783190014296611e-120,Upregulated,,,
P74652,hlyB,3.3340474944901475,3.4680563514833066e-111,Upregulated,,,
Q55194,sll0685,2.9328928594157095,2.8775779236373784e-106,Upregulated,,,
P74754,slr0607,3.1030069669082505,1.0440772997345115e-101,Upregulated,,,
Q55621,purF,-1.963095343982327,2.0052612458436113e-101,Downregulated,,,
P72971,slr1593,2.541840486250065,2.7273537635196054e-98,Upregulated,,,
Q55590,slr0376,-2.932460806656496,2.1619084092974765e-95,Downregulated,,,
P73173,pilJ,1.8349227252105809,1.9817352986906032e-94,Upregulated,0.7177224406280347,3.0,P73173_SYNY3 PilJ protein
P49433,gap1,2.0138361756418903,1.4277572065814105e-91,Upregulated,0.5333024671516319,3.0,G3P1_SYNY3 Glyceraldehyde-3-phosphate dehydrogenase 1
P29254,psaA,-1.604636439051386,4.895000572212057e-85,Downregulated,1.1901611948336144,3.0,PSAA_SYNY3 Photosystem I P700 chlorophyll a apoprotein A1
